,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
FIREANGEL SAFETY TECHNOLOGY GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,12.63,27.5,30.05,nan,nan,2017
FIRESTONE DIAMONDS PLC,Mining,Diamonds &amp; Gemstones,14.35,2.62,11.51,100.41,nan,2018
FIRST DERIVATIVES PLC,Software &amp; Computer Services,Computer Services,546.79,2090,-45.42,11.72,0.63,2018
FIRST PROPERTY GROUP PLC,Financial Services,Asset Managers,54.01,48.5,40.15,222.04,3.49,2018
FIRSTGROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,1124.09,93.2,-8.74,76.67,nan,2018
FISHER (JAMES) &amp; SONS PLC,Industrial Transportation,Transportation Services,909.78,1912,171.01,46.46,1.83,2017
FLETCHER KING PLC,Real Estate Investment &amp; Services,Real Estate Services,4.24,46,44.96,nan,2.8,2018
FLOWTECH FLUIDPOWER PLC,Industrial Engineering,Industrial Machinery,70.21,111.5,17.98,19.98,3.5,2017
FOCUSRITE PLC,Leisure Goods,Consumer Electronics,269.64,464,25.03,nan,33.62,2017
FOOTASYLUM PLC,General Retailers,Apparel Retailers,45.45,43.5,9300,-26.06,nan,2018
FORBIDDEN TECHNOLOGIES PLC,Software &amp; Computer Services,Software,22.75,7.4,0.9,nan,nan,2017
FORESIGHT SOLAR FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,620.3,113,102.88,nan,2.88,2017
FORTERRA PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,531.17,269,nan,58.07,24.79,2017
FOX MARBLE HOLDINGS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,19.07,8.25,2.32,48.28,nan,2017
FOXTONS GROUP PLC,Real Estate Investment &amp; Services,Real Estate Services,162.59,61.1,7.55,nan,nan,2017
FRANCHISE BRANDS PLC,General Retailers,Specialized Consumer Services,53.88,69.5,nan,26.99,26.53,2017
FRENCH CONNECTION GROUP PLC,General Retailers,Apparel Retailers,39.13,40.5,46.86,nan,nan,2018
FRENKEL TOPPING GROUP PLC,Financial Services,Specialty Finance,24.18,32,6.79,nan,2.26,2017
FRESNILLO PLC,Mining,Gold Mining,7192.08,900,312.48,nan,1.72,2017
nan,nan,nan,nan,nan,nan,nan,nan,nan
FRONTIER DEVELOPMENTS PLC,Leisure Goods,Toys,326.97,842,67.59,nan,nan,2018
FRONTIER IP GROUP PLC,Support Services,Business Support Services,36.84,87.5,28.09,nan,nan,2018
FRONTIER SMART TECHNOLOGIES GROUP LIMITED,Technology Hardware &amp; Equipment,Semiconductors,13.64,33,3.96,-18.16,nan,2017
FULCRUM UTILITY SERVICES LD,"Gas, Water &amp; Multiutilities",Multiutilities,108.73,49.35,4.04,nan,3.44,2018
THE FULHAM SHORE PLC,Travel &amp; Leisure,Restaurants &amp; Bars,64.28,11.65,1.92,nan,nan,2018
"FULLER, SMITH &amp; TURNER PLC",Travel &amp; Leisure,Restaurants &amp; Bars,345.74,1080,224.34,59.59,2.04,2018
FUNDING CIRCLE SME INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,282.62,86,98.85,nan,7.08,2018
FUNDING CIRCLE HOLDINGS PLC,Software &amp; Computer Services,Software,1230.65,365,nan,nan,nan,nan
FUNDSMITH EMERGING EQUITIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,329.05,1220,1039.01,nan,nan,2017
FUSION ANTIBODIES PLC,Health Care Equipment &amp; Services,Health Care Providers,6.85,31,311.5,-67.13,nan,2018
FUTURA MEDICAL PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,29.68,13.5,7.54,nan,nan,2017
G4S PLC,Support Services,Business Support Services,3273.86,212.2,-74.83,184.82,3.72,2017
GABELLI VALUE PLUS+ TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,124.65,125,102.87,nan,30.84,2018
GALANTAS GOLD CORPORATION,Mining,Gold Mining,15.36,5.12,3.49,-8.82,nan,2017
GALILEO RESOURCES PLC,Mining,General Mining,2.15,0.7,1.62,nan,nan,2018
GALLIFORD TRY PLC,Household Goods &amp; Home Construction,Home Construction,776.67,726.5,541.84,-12.65,8.82,2018
GAMA AVIATION PLC,Industrial Transportation,Transportation Services,43.91,69,14.48,21.56,nan,2017
GAME DIGITAL PLC,General Retailers,Specialty Retailers,48.6,29,43.09,-57.66,3.53,2018
GAMES WORKSHOP GROUP PLC,Leisure Goods,Toys,1000.95,3080,212.84,nan,4.24,2018
GAMING REALMS PLC,Travel &amp; Leisure,Gambling,12.49,4.18,-1.5,-8.25,nan,2017
GAMMA COMMUNICATIONS PLC,Mobile Telecommunications,Mobile Telecommunications,838.34,864,95.19,nan,1.27,2017
GAN PLC,Software &amp; Computer Services,Software,41.23,51.5,2.44,nan,nan,2017
GATELEY (HOLDINGS) PLC,Support Services,Business Support Services,172.39,162.5,12.71,2.86,nan,2018
GATTACA PLC,Support Services,Business Training &amp; Employment Agencies,36.96,117.5,95.08,86.93,1.59,2018
PJSC GAZPROM,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,42476.98,4.65,42268.3,20.62,3.12,2017
GB GROUP PLC,Software &amp; Computer Services,Computer Services,930.84,478,-2.37,-8.56,0.66,2018
nan,nan,nan,nan,nan,nan,nan,nan,nan
GCM RESOURCES PLC,Mining,Coal,24.55,24.5,-1.28,2.12,nan,2018
GCP ASSET BACKED INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,406.56,107,nan,nan,nan,2016
GCP INFRASTRUCTURE INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,1127.49,128.8,112.49,14.45,6.11,2018
GCP STUDENT LIVING PLC,Real Estate Investment Trusts,Residential REITs,638.04,154,149.12,nan,4.05,2018
GEAR4MUSIC (HOLDINGS) PLC,Leisure Goods,Recreational Products,37.7,180,30.69,26.42,nan,2018
GEM DIAMONDS LIMITED,Mining,Diamonds &amp; Gemstones,145.18,104.5,65.9,-2.27,nan,2016
GENEDRIVE PLC,Health Care Equipment &amp; Services,Medical Equipment,8.33,24.5,2.16,nan,nan,2017
GENESIS EMERGING MARKETS FUND LD,Equity Investment Instruments,Equity Investment Instruments,864.84,702,798,nan,nan,2018
GENUS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,1483.04,2250,383.31,26.04,0.61,2018
GEORGIA CAPITAL PLC,Financial Services,Specialty Finance,428.74,1132,nan,nan,nan,nan
GEORGIA HEALTHCARE GROUP PLC,Health Care Equipment &amp; Services,Health Care Providers,280.48,210,281.98,nan,nan,2017
GEORGIAN MINING CORPORATION,Mining,Gold Mining,6.02,5.35,-0.95,nan,nan,2017
GETBUSY PLC,Software &amp; Computer Services,Software,17.18,35.5,nan,nan,nan,2017
GETECH GROUP PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,11.27,30,14.9,-14.44,nan,2017
GFINITY PLC,Media,Broadcasting &amp; Entertainment,19.05,5.25,2.84,nan,nan,2018
GLAXOSMITHKLINE PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,76181.77,1505,nan,-19494.12,6.11,2017
GLENCORE PLC,Mining,General Mining,42493.87,303.65,230.33,63.93,3.87,2017
GLI FINANCE LIMITED,Financial Services,Specialty Finance,16.7,5.3,16.1,nan,6.17,2017
GLOBAL PETROLEUM LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,2.43,1.2,2.52,nan,nan,2018
GLOBAL RESOURCES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1.05,2.5,19.66,nan,nan,2017
GLOBALDATA PLC,Media,Publishing,726.4,615,-65.03,51.2,1.38,2017
GLOBALTRANS INVESTMENT PLC,Industrial Transportation,Railroads,1373.4,9.95,21101.57,25.32,16.53,2017
GO-AHEAD GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,884.07,2078,457.39,-53.25,6.43,2018
GOALS SOCCER CENTRES PLC,Travel &amp; Leisure,Recreational Services,42.5,56.5,115.12,26.17,nan,2016
GOCOMPARE.COM GROUP PLC,Media,Media Agencies,297.08,71.5,nan,-93.34,nan,2016
GOLDPLAT PLC,Mining,Gold Mining,6.11,3.65,6.28,-1.94,nan,2018
GOLDSTONE RESOURCES LIMITED,Mining,General Mining,5.24,2.1,0.48,nan,nan,2017
GOOCH &amp; HOUSEGO PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,301.39,1200,169.08,9.83,nan,2018
GOOD ENERGY GROUP PLC,Electricity,Alternative Electricity,16.82,101.5,88.04,310.85,1.81,2017
GORDON DADDS GROUP PLC,Support Services,Business Support Services,53.06,143.5,-9.6,-34.68,nan,2018
GREAT PORTLAND ESTATES PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,2022.67,749.1,843.86,1.54,6.52,2018
GRAFENIA PLC,Support Services,Business Support Services,8.64,10.75,-1.73,72.6,0,2018
GRAFTON GROUP PLC,Support Services,Industrial Suppliers,1827.23,811.5,12.35,5.31,1.96,2017
GRAINGER PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,1481.29,244.8,194.31,104.45,1.75,2018
GRC INTERNATIONAL GROUP PLC,Software &amp; Computer Services,Computer Services,64.65,112.5,nan,nan,nan,nan
GREAT WESTERN MINING CORPORATION PLC,Mining,General Mining,2.54,0.4,0.41,nan,nan,2017
GREATLAND GOLD PLC,Mining,Gold Mining,54.39,1.69,0.04,nan,nan,2017
GREENCOAT RENEWABLES PLC,Equity Investment Instruments,Equity Investment Instruments,355.58,1.08,nan,nan,nan,2017
GREENCOAT UK WIND PLC,Equity Investment Instruments,Equity Investment Instruments,1561.78,138,111.23,nan,5.28,2017
GREENCORE GROUP PLC,Food Producers,Food Products,878.76,197.35,44.33,67.97,3.01,2018
GREENE KING PLC,Travel &amp; Leisure,Restaurants &amp; Bars,2044.76,659.4,271.77,98.8,6.1,2018
GREGGS PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,1775.29,1786,281.37,nan,nan,2017
GRESHAM HOUSE STRATEGIC PLC,Equity Investment Instruments,Equity Investment Instruments,33.24,935,1186.34,nan,2.08,2018
GRESHAM HOUSE PLC,Equity Investment Instruments,Equity Investment Instruments,110.72,445,175.82,nan,nan,2017
GRESHAM TECHNOLOGIES PLC,Software &amp; Computer Services,Software,62.3,91.5,3.53,-33.73,nan,2016
GRIFFIN MINING LIMITED,Mining,General Mining,171.88,99.5,85.16,-11.55,nan,2017
GULF MARINE SERVICES PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,64.13,18,92,88.62,nan,2017
GUNSYND PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,1.1,0.02,0.05,nan,nan,2018
GVC HOLDINGS PLC,Travel &amp; Leisure,Gambling,3764.7,668,-71.75,-0.66,22.62,2017
GYG PLC,Industrial Transportation,Transportation Services,27.75,58.5,nan,39.07,nan,2017
THE GYM GROUP PLC,Travel &amp; Leisure,Recreational Services,269.02,197,45.91,nan,0.55,2017
H&amp;T GROUP PLC,Financial Services,Consumer Finance,110.72,294,217.7,nan,nan,2017
HADRIAN'S WALL SECURED INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,138.27,95.25,nan,nan,nan,2018
HALFORDS GROUP PLC,General Retailers,Specialty Retailers,469.12,244,14.06,20.81,5.52,2018
HALMA PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,5736.44,1533,-10.11,26.6,1.25,2018
HAMMERSON PLC,Real Estate Investment Trusts,Retail REITs,2866.7,380.7,758.41,54.55,4.7,2017
HANSA TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,90,1110,1346.25,nan,1.6,2018
HANSARD GLOBAL PLC,Life Insurance,Life Insurance,60.55,43.1,20.81,nan,7.34,2018
HANSTEEN HOLDINGS PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,403.24,98.75,123.84,79.48,5.2,2016
HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,Equity Investment Instruments,Equity Investment Instruments,1165.99,1440,1640.99,nan,nan,2018
HARDIDE PLC,Chemicals,Specialty Chemicals,26.32,1.55,0.19,nan,nan,2017
HARDY OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,3.25,4.4,6.98,nan,nan,2018
HARGREAVES LANSDOWN PLC,Financial Services,Asset Managers,8096.62,1701.5,81.08,nan,2.03,2018
HARGREAVES SERVICES PLC,Support Services,Business Support Services,97.32,303,403.19,22.62,2.04,2018
HARVEST MINERALS LIMITED,Mining,General Mining,26.02,14,9.39,nan,nan,2018
HARWOOD WEALTH MANAGEMENT GROUP PLC,Financial Services,Asset Managers,86.93,137.5,nan,nan,6.98,2017
HARWORTH GROUP PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,377.77,118,127.41,7.89,0.76,2017
HASTINGS GROUP HOLDINGS PLC,Nonlife Insurance,Property &amp; Casualty Insurance,1443.54,219,-2.07,nan,nan,2017
HAYDALE GRAPHENE INDUSTRIES PLC,Chemicals,Specialty Chemicals,0.76,2.75,30.46,-33.46,nan,2018
HAYNES PUBLISHING GROUP PLC,Media,Publishing,12.41,205,-54.64,-10.14,3.23,2018
HAYS PLC,Support Services,Business Training &amp; Employment Agencies,2184.27,151.4,31.25,nan,4.72,2018
HEADLAM GROUP PLC,Household Goods &amp; Home Construction,Furnishings,352.4,410,205.8,-16.14,4.45,2017
HELICAL PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,396.88,345,450.12,nan,2.94,2018
HELIOS UNDERWRITING PLC,Nonlife Insurance,Property &amp; Casualty Insurance,19.9,134,60.5,nan,1.09,2017
HENDERSON EUROPEAN FOCUS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,247.77,1135,1366.58,nan,2.5,2018
HENDERSON EUROTRUST PLC,Equity Investment Instruments,Equity Investment Instruments,225.63,1065,1246.68,nan,2.66,2018
HENDERSON FAR EAST INCOME LIMITED,Equity Investment Instruments,Equity Investment Instruments,443.09,350,359.26,nan,0.6,2018
HENDERSON HIGH INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,217.97,168.5,nan,nan,4.95,2017
HENDERSON OPPORTUNITES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,76.4,967,1269.85,nan,1.88,2017
HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,618.53,830,1046.92,nan,2.17,2018
HENDERSON ALTERNATIVE STRATEGIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,109.07,282,335.44,nan,1.63,2017
HENDERSON DIVERSIFIED INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,165.16,87.6,89.71,15.07,nan,2016
HENDERSON INTERNATIONAL INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,279.43,157,115.58,nan,24.57,2017
HERALD INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,858.32,1245,1374.88,nan,nan,2017
HERENCIA RESOURCES PLC,Mining,General Mining,1.6,0.01,0.03,19.5,nan,2017
HG CAPITAL TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,753.96,2020,nan,nan,2.65,2017
HICL INFRASTRUCTURE COMPANY LD,Equity Investment Instruments,Equity Investment Instruments,2963.57,165.4,149.6,nan,5.78,2018
HIGHBRIDGE MULTI-STRATEGY FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,224.64,214,234.23,nan,nan,2017
HIGHCROFT INVESTMENTS PLC,Real Estate Investment Trusts,Diversified REITs,47.41,917.5,1160.72,nan,5.21,2017
HIGHLAND GOLD MINING LD,Mining,Gold Mining,595.98,162.2,168.68,25.58,4.54,2017
HIKMA PHARMACEUTICALS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,4113.24,1690.5,231.61,36.26,2.28,2017
HILL &amp; SMITH HOLDINGS PLC,Industrial Engineering,Industrial Machinery,914.32,1167,120.33,38.28,2.24,2017
HILTON FOOD GROUP PLC,Food Producers,Food Products,749.1,918,104.97,-11.05,2.2,2017
HISCOX LTD,Nonlife Insurance,Property &amp; Casualty Insurance,4722.67,1631,592.86,nan,2.7,2016
HML HOLDINGS PLC,Real Estate Investment &amp; Services,Real Estate Services,15.77,34.5,-9.53,10.4,1.38,2018
HOCHSCHILD MINING PLC,Mining,Platinum &amp; Precious Metals,1001.09,197.1,106.59,14.06,0.94,2017
HOLDERS TECHNOLOGY PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,1.75,42,86.88,nan,156.25,2017
HOLLYWOOD BOWL GROUP PLC,Travel &amp; Leisure,Recreational Services,336.75,224,7.26,2.21,nan,2018
HOMESERVE PLC,Support Services,Business Support Services,3233,981,-66.83,43.16,2.59,2018
HORIZON DISCOVERY GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,233.13,159.5,29.9,nan,nan,2017
HORIZONTE MINERALS PLC,Mining,General Mining,38.86,2.59,0.36,nan,nan,2017
HORNBY PLC,Leisure Goods,Toys,41.34,33,18.31,nan,nan,2018
HOSTELWORLD GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,189.42,195.2,7.02,nan,0.11,2017
HOTEL CHOCOLAT GROUP PLC,Food Producers,Food Products,345.28,317.5,25.55,-0.04,nan,2018
HOWDEN JOINERY GROUP PLC,Support Services,Industrial Suppliers,3116.53,529.2,70.69,nan,2.37,2017
HSBC HOLDINGS PLC,Banks,Banks,124544.88,612,637.87,nan,4.99,2017
HSS HIRE GROUP PLC,Support Services,Business Support Services,61.1,35.9,-14.2,308.66,-0.71,2017
HUMMINGBIRD RESOURCES PLC,Mining,General Mining,83.47,23.8,17.12,20.23,nan,2017
HUNTERS PROPERTY PLC,Real Estate Investment &amp; Services,Real Estate Services,13.69,43,-11.25,31.06,4.84,2017
HUNTING PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,916.98,571,344.18,-2.78,nan,2017
HUNTSWORTH PLC,Media,Media Agencies,353.05,99.4,-7.22,22.89,2.46,2017
HURRICANE ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,868.44,44.18,21.7,nan,nan,2017
HUTCHISON CHINA MEDITECH LIMITED,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,2632.98,3950,527.05,nan,nan,2017
HYDRODEC GROUP PLC,Alternative Energy,Alternative Fuels,19.51,68.75,0.41,191.99,nan,2017
HYDROGEN GROUP PLC,Support Services,Business Training &amp; Employment Agencies,22.81,70,21.69,1.81,nan,2017
I3 ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,20.71,49,nan,643.75,nan,2017
IBSTOCK PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,977.11,244.2,75,27.81,3.46,2017
ICG ENTERPRISE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,581.09,840,959.14,nan,2.57,2018
ICG-LONGBOW SENIOR SECURED UK PROPERTY DEBT INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,120.45,99.6,100.8,nan,5.85,2018
IDE GROUP HOLDINGS PLC,Software &amp; Computer Services,Computer Services,7.41,1.85,-5.01,21.44,nan,2017
IDEAGEN PLC,Software &amp; Computer Services,Software,285.24,128,-4.84,-1.55,0.22,2018
IDOX PLC,Software &amp; Computer Services,Software,131.69,32.2,-7.62,35.12,1.67,2017
IG DESIGN GROUP PLC,Household Goods &amp; Home Construction,Nondurable Household Products,439.89,559,94.39,-4.5,1.51,2018
IG GROUP HOLDINGS PLC,Financial Services,Investment Services,2032.33,569.5,187.75,nan,5,2018
IGAS ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,96.72,76.2,50.6,3.04,nan,2017
ILIKA PLC,Alternative Energy,Alternative Fuels,38.27,38,7.96,nan,nan,2017
IMAGE SCAN HOLDINGS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,3.85,2.3,1.34,nan,nan,2017
ABAL GROUP PLC,Nonequity Investment Instruments,Nonequity Investment Instruments,0.82,0.81,nan,nan,nan,nan
IMI PLC,Industrial Engineering,Industrial Machinery,2642.12,969.5,36.18,43.66,2.96,2017
IMIMOBILE PLC,Software &amp; Computer Services,Software,154.05,227,0.6,-8,nan,2018
IMMEDIA GROUP PLC,Media,Broadcasting &amp; Entertainment,4.51,31,-1.31,-26.61,nan,2017
IMMOTION GROUP PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,12.21,6.12,8426.23,1772.51,85.83,2017
IMMUNODIAGNOSTIC SYSTEMS HOLDINGS PLC,Health Care Equipment &amp; Services,Medical Equipment,53.97,187.5,156.07,-47.92,0.77,2018
IMMUPHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,18.55,13.05,4.04,-69.09,nan,2017
IMPERIAL BRANDS PLC,Tobacco,Tobacco,24875.16,2557.5,-1399.44,194.45,7.03,2018
IMPAX ASSET MANAGEMENT GROUP PLC,Financial Services,Investment Services,264.09,203,11.41,-31.86,2.76,2018
IMPAX ENVIRONMENTAL MARKETS PLC,Equity Investment Instruments,Equity Investment Instruments,510.64,281,nan,nan,0.98,2017
IMPELLAM GROUP PLC,Support Services,Business Training &amp; Employment Agencies,274.17,555,-63.42,29.17,3.68,2017
INCHCAPE PLC,General Retailers,Specialty Retailers,2519.82,616.5,191.49,-2.13,3.42,2017
INDEPENDENT INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,302.05,546,610.15,nan,1.22,2017
INDEPENDENT OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,14.59,13,nan,nan,nan,2017
INDIA CAPITAL GROWTH FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,89.78,80.4,127.05,nan,nan,2017
INDIGOVISION GROUP PLC,Software &amp; Computer Services,Computer Services,9.43,125.5,168.73,-15.09,nan,2017
INDIVIOR PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,763.75,106.3,nan,187.68,nan,2017
INFORMA PLC,Media,Media Agencies,9037.98,712.8,-253.66,61.87,2.82,2017
INFRASTRATA PLC,"Gas, Water &amp; Multiutilities",Gas Distribution,16.18,1.24,0.02,-21.29,nan,2018
INGENTA PLC,Software &amp; Computer Services,Software,12.52,74,6.16,-33.27,nan,2017
INLAND HOMES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,126.7,61.1,64.1,nan,2.82,2017
INMARSAT PLC,Mobile Telecommunications,Mobile Telecommunications,1845.38,386.7,77.83,192.92,7.4,2017
INSPIRATION HEALTHCARE GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,16.1,52.5,10.29,nan,nan,2018
INSPIRED ENERGY PLC,Support Services,Business Support Services,128.87,18.05,-1.44,58.74,2.86,2017
INSPIRIT ENERGY HOLDINGS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,0.45,0.03,-0.05,53,nan,2018
INSTEM PLC,Software &amp; Computer Services,Computer Services,51.41,323,-30.58,-23.22,nan,2016
INTERNATIONAL BIOTECHNOLOGY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,238.44,630,699.04,0.09,3.97,2018
INTERMEDIATE CAPITAL GROUP PLC,Financial Services,Asset Managers,3005.13,1037,447.64,nan,3.06,2018
INTEGUMEN PLC,Personal Goods,Personal Products,8,1.97,nan,-657.52,-63.37,2017
INTELLIGENT ULTRASOUND GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,11.16,7.12,4.17,nan,nan,2017
INTERNATIONAL PERSONAL FINANCE PLC,Financial Services,Consumer Finance,427.85,193.8,187.58,130.87,6.17,2017
INTERCEDE GROUP PLC,Software &amp; Computer Services,Software,11.56,22.9,nan,nan,nan,2018
INTERCONTINENTAL HOTELS GROUP PLC,Travel &amp; Leisure,Hotels,8503.41,4622.5,nan,-215.73,1.65,2017
INTERSERVE PLC,Support Services,Business Support Services,24.25,18.25,-260.85,1062.58,nan,2017
INTERTEK GROUP PLC,Support Services,Business Support Services,8279.47,5088,-29.8,76.67,1.39,2017
INTEGRAFIN HOLDINGS PLC,Financial Services,Asset Managers,1167.74,352.9,7873.18,nan,nan,2018
INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A.,Travel &amp; Leisure,Airlines,12792.36,620,171.75,9.24,3.69,2017
INTERNATIONAL PUBLIC PARTNERSHIPS LD,Equity Investment Instruments,Equity Investment Instruments,2327.43,156.8,145.03,nan,4.36,2017
INTU PROPERTIES PLC,Real Estate Investment Trusts,Retail REITs,1546.78,114.6,374.23,93.99,5.55,2017
INVESCO ASIA TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,198.44,281.5,nan,nan,nan,2018
INVESCO INCOME GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,154.87,264.5,nan,nan,4.09,2018
INVESCO PERPETUAL UK SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,153.09,466,543.56,nan,4,2018
INVESTEC PLC,Financial Services,Investment Services,3373.77,494.2,287.34,nan,4.37,2018
INVESTMENT COMPANY PLC,Equity Investment Instruments,Equity Investment Instruments,14.17,297,371.68,nan,6.37,2017
IOFINA PLC,Oil &amp; Gas Producers,Exploration &amp; Production,20.06,15.72,1.15,nan,nan,2017
IOMART GROUP PLC,Software &amp; Computer Services,Internet,393.32,361.5,-3.99,26.99,1.35,2018
IP GROUP PLC,Financial Services,Specialty Finance,1084.56,103.4,125.04,-7.59,nan,2017
IQE PLC,Technology Hardware &amp; Equipment,Semiconductors,642,84,23.69,nan,nan,2017
IQGEO GROUP PLC,Software &amp; Computer Services,Software,39.1,53.5,nan,nan,nan,nan
IRONRIDGE RESOURCES LIMITED,Industrial Metals &amp; Mining,Iron &amp; Steel,57.27,18.5,3.66,nan,nan,2018
IRONVELD PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,12.29,2.1,-1.45,nan,nan,2018
ITACONIX PLC,Chemicals,Specialty Chemicals,7,2.6,5.04,nan,nan,2017
ITE GROUP PLC,Media,Media Agencies,494.66,66.5,-22.74,nan,3.47,2018
ITM POWER PLC,Alternative Energy,Renewable Energy Equipment,74.52,23.9,10.88,nan,nan,2018
ITV PLC,Media,Broadcasting &amp; Entertainment,5325.62,131.65,-24.01,136.06,4.74,2017
IWG PLC,Support Services,Business Support Services,2037.95,229.2,1.71,40.73,2.27,2017
IXICO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,14.5,30.5,10.28,nan,nan,2017
JADESTONE ENERGY INC,Oil &amp; Gas Producers,Exploration &amp; Production,184.42,40.5,0.87,2.91,nan,2017
JAMES HALSTEAD PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,957.2,471,60.39,nan,3.36,2018
JANGADA MINES PLC,Mining,Platinum &amp; Precious Metals,6.25,2.65,nan,-53.23,nan,2018
JARDINE LLOYD THOMPSON GROUP PLC,Nonlife Insurance,Insurance Brokers,4174.86,1908,-141.04,nan,2.47,2017
JARVIS SECURITIES PLC,Financial Services,Specialty Finance,55.52,507,46.39,nan,4.27,2017
JD SPORTS FASHION PLC,General Retailers,Apparel Retailers,4587.82,484.2,57.48,-40.2,0.45,2018
JERSEY ELECTRICITY PLC,Electricity,Conventional Electricity,54.71,470,612.72,nan,nan,2018
JERSEY OIL AND GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,52.17,239,18.34,nan,nan,2017
JKX OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,77.28,46,64.97,6.65,nan,2017
JOHN LAING ENVIRONMENTAL ASSETS GROUP LIMITED,Equity Investment Instruments,Equity Investment Instruments,551.69,111,100.12,nan,nan,2018
JOHN LAING GROUP PLC,Financial Services,Specialty Finance,1895.38,386.6,277.12,15.72,3.01,2016
