,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
BEGBIES TRAYNOR GROUP PLC,Support Services,Business Support Services,69.34,61.6,0.08,nan,3.4,2018
BELLWAY PLC,Household Goods &amp; Home Construction,Home Construction,3523.11,2979,2079.28,nan,4.9,2018
BELVOIR LETTINGS PLC,Real Estate Investment &amp; Services,Real Estate Services,34.76,99.5,-20.17,26.2,7.01,2017
BENCHMARK HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,284.33,51,4.69,6.76,nan,2017
BEOWULF MINING PLC,Mining,General Mining,43.32,7.65,0.29,nan,nan,2017
BERKELEY GROUP HOLDINGS (THE) PLC,Household Goods &amp; Home Construction,Home Construction,4933.54,3896,1940.12,nan,2.66,2018
BEST OF THE BEST PLC,Travel &amp; Leisure,Recreational Services,31.41,320,14.05,nan,2.75,2018
BETTER CAPITAL PCC LIMITED,Equity Investment Instruments,Equity Investment Instruments,17.45,49.5,50.51,nan,nan,2018
BEZANT RESOURCES PLC,Mining,Gold Mining,1.2,0.12,0.87,nan,nan,2017
BH GLOBAL LIMITED,Equity Investment Instruments,Equity Investment Instruments,305,1540,nan,nan,nan,2017
BH MACRO LIMITED,Equity Investment Instruments,Equity Investment Instruments,307.25,2415,nan,nan,nan,2017
BHP GROUP PLC,Mining,General Mining,38283.41,1793.4,787.35,19.67,nan,2018
BIDSTACK GROUP PLC,Media,Media Agencies,17.5,8.8,3.25,nan,nan,2017
BIFFA PLC,Support Services,Waste &amp; Disposal Services,452.5,182.8,nan,93.46,1.94,2018
BIG SOFA TECHNOLOGIES GROUP PLC,Software &amp; Computer Services,Software,6.59,4.75,-0.16,74.27,nan,2017
BIG YELLOW GROUP PLC,Real Estate Investment Trusts,Specialty REITs,1593.32,955,622.25,35.16,3.61,2018
BIGBLU BROADBAND PLC,Software &amp; Computer Services,Internet,61.52,104.5,-0.71,137.58,-46.36,2017
BILBY PLC,Support Services,Business Support Services,26.15,65,-6.12,32.55,nan,2018
BILLING SERVICES GROUP LIMITED,Support Services,Financial Administration,3.62,2.2,4.69,-43.34,nan,2017
BILLINGTON HOLDINGS PLC,Construction &amp; Materials,Heavy Construction,35.62,277,169.9,-27.57,4.07,2017
